Category	despansing unit 	Product Name	Generic / Active Ingredient
	strip	Ldnil  10mg   	Rosuvastatin
	ampoule	Lordin  inj 40mg/Vial	Omeprazole
	strip	Lorvast  40mg   	Atorvastatin
	strip	Losa   50mg   	Losartan Potassium
	strip	LosaH   50mg/12.5mg of  	Losartan Potassium + Hydrochlorothiazide
	strip	Losar-Denk  50mg 	Losartan Potassium
	strip	Losar-Denk  100mg 	Losartan Potassium
	bottle 	Losecor  100ml Syrup	Lactulose
	strip	Lotense  10mg 	Amlodipine
	strip	Lotevan  5/160mg  	Amlodipine + Valsartan
	strip	Lotevan  10/160mg 	Amlodipine + Valsartan
	strip	Lozeap  50mg 	Losartan Potassium
	strip	Nebilet  5mg 	Nebivolol
	strip	Nebilet Plus  5/12.5mg 	Nebivolol + Hydrochlorothiazide
	strip	Nicardia Retard  20mg 	Nifedipine
	strip	Nifedi-Denk  10mg Retard  	Nifedipine
	strip	Phlebodia  600mg  	Diosmin
	strip	Pixab  2.5mg 	Apixaban
	strip	Pixab  5mg 	Apixaban
	strip	Plavido  75mg 	Clopidogrel
	strip	RosuNor  10mg 	Rosuvastatin
	strip	RosuNor  20mg 	Rosuvastatin
	strip	RosuNor  5mg 	Rosuvastatin
	strip	Rosutrox  10mg 	Rosuvastatin
	strip	Rosutrox  20mg 	Rosuvastatin
	strip	Rosutrox  5mg 	Rosuvastatin
	strip	Roxaban-Denk  10mg 	Rivaroxaban
	strip	Roxaban-Denk  15mg  	Rivaroxaban
	strip	Roxaban-Denk  20mg 	Rivaroxaban
	strip	Roxpinn  20mg 	Rivaroxaban
	strip	Simva-Denk  40mg  	Simvastatin
	strip	Scolip  40mg 	Atorvastatin
	strip	Uperio  100mg 	Sacubitril + Valsartan
	strip	Uperio  200mg 	Sacubitril + Valsartan
	strip	Uractonum  25mg 	Spironolactone
	strip	Valcodin  10mg/160mg  	Amlodipine + Valsartan
	strip	Valcodin  5mg/160mg 	Amlodipine + Valsartan
	strip	Valnor Combi  10/160 	Amlodipine + Valsartan
	strip	Valnor Combi  5/160  	Amlodipine + Valsartan
	strip	Varoxa  15mg  	Rivaroxaban
	strip	    (Warfarin-SSP) 5mg	Warfarin Sodium
	strip	Xarelto  10mg 	Rivaroxaban
	strip	Xarelto  15mg 	Rivaroxaban
	strip	Xarelto  20mg 	Rivaroxaban
Diabetes & Endocrine Care	strip	Anti-Thyrox  5mg 	Carbimazole
	strip	Clamide  5mg 	Glibenclamide
	strip	Euglim  2mg 	Glimepiride
	strip	Flozip-10  10mg 	Dapagliflozin
	strip	Flozip-M  of   	Dapagliflozin + Metformin
	strip	Formentin     500mg         	Metformin
	strip	Galvus Met   	Vildagliptin + Metformin
	strip	Gleap  4mg 	Glimepiride
	strip	   Gliben-SSP 5mg	Glibenclamide
	strip	Glifor   1g 	Metformin HCL
	strip	Glifor   850mg   	Metformin HCL
	strip	Glimepiride-Denk 2mg 	Glimepiride
	strip	Glimepiride-Denk 3mg 	Glimepiride
	strip	Glitisol  5mg  10 Tab	Glibenclamide
	strip	Glucophage  500mg 	Metformin
	strip	Glucophage XR  1000mg  	Metformin
	strip	Glyformin  500mg 	Metformin
	strip	Jusline R  100u/ml Inj	Regular Insulin
	pis	Lantus Solostar 100IU/3ml Insulin Glargine	Insulin Glargine
	strip	Metformin-Denk  1000mg 	Metformin
	strip	Metformin-Denk  500mg 	Metformin
	strip	Metformin-Denk  850mg 	Metformin
	strip	Methyldopa 250mg 	Methyldopa
	strip	Propylthioutacil 100 mg 100*1 (Ptu Ssp)	Propylthiouracil
	strip	PTU  100mg of 100 	Propylthiouracil
	strip	Macleods 300mg	Tenofovir Disoproxil Fumarate
	strip	Thyrox  100Mcg  	Levothyroxine Sodium
	strip	Vildabet Met 50/1000mg  of 60 	Vildagliptin + Metformin
	strip	Viltimet 	Vildagliptin + Metformin
	strip	Zirteva  10mg 	Dapagliflozin
Pain Relief & Anti-Inflammatories	tube	Adiflam  30gm Gel	Diclofenac
	strip	Adiflam 50mg  	Diclofenac
	tube	Almiral   1%, 50gm Gel	Diclofenac Sodium
	suppository	Almiral   100mg of 5 Supp	Diclofenac Sodium
	strip	Almiral   50mg  	Diclofenac Sodium
	strip	Anaflam  400mg  	Ibuprofen
	strip	Aspicam  15mg	Meloxicam
	strip	Aspirem  75mg  	Aspirin
	bottle 	Cetal  120mg/5ml, 60ml Syrup	Paracetamol
	strip	Dicloc-K   50mg 	Diclofenac Potassium
	suppository	Diclo-Denk  100mg Rectal 	Diclofenac
	strip	Diclo-Denk  100mg Retard of  	Diclofenac
	strip	Diclo-Denk  50mg 	Diclofenac
	tube	Diclofenac 15gm Gel (India)	Diclofenac
	suppository	Diclosafe   100mg 	Diclofenac Sodium
	strip	Dologan-Denk  	Paracetamol + Ibuprofen + Caffeine
	strip	Dispercam  20mg 	Piroxicam
	strip	Divido  75mg 	Diclofenac
	strip	Etricox  60mg  	Etoricoxib
	strip	Etricox  90mg  	Etoricoxib
	strip	Fortine  100mg  	Flurbiprofen
	strip	Gesic-P   400/325mg  	Ibuprofen + Paracetamol
	strip	Gofen  200mg  	Ibuprofen
	strip	Gofen  400mg 	Ibuprofen
	bottle 	Ibucold Plus Syrup	Ibuprofen + Pseudoephedrine + Chlorpheniramine
	bottle 	Ibufen  100mg/5ml, 100ml Syrup (Child)	Ibuprofen
	bottle 	Ibupac  100mg/5ml, 100ml Oral Suspn	Ibuprofen
	bottle 	IbuPlus Syrup	Ibuprofen + Paracetamol
	strip	IbuPlus tab	Ibuprofen + Paracetamol
	strip	Ibuprofen-Denk  400mg  	Ibuprofen
	strip	Idmexin  25mg  Tab	Indomethacin
	ampoule	Inolol  75mg/3ml Inj 	Diclofenac Sodium
	tube	Ketavel  1.25%, 60gm Gel	Dexketoprofen
	ampoule	Ketesse  50mg/2ml Inj of 5 Amp	Dexketoprofen
	tube	Lofen (Diclofenac) 30g Gel	Diclofenac
	strip	Melocam  15mg  Tab	Meloxicam
	strip	Milprofen  400mg 	Ibuprofen
	suppository	Mobitil  15mg 	Meloxicam
	strip	Naproff  550mg  	Naproxen
	strip	Nafan   50mg  	Diclofenac Sodium
	strip	Ontadex  50mg 	Tramadol
	strip	Paingo  500mg 	Paracetamol
	strip	Panadol Advance  500mg 	Paracetamol
	suppository	Para-Denk  125mg  	Paracetamol
	suppository	Para-Denk  250mg 	Paracetamol
	strip	Paracetamol 500mg of Tab (Epharm)	Paracetamol
	strip	PoldanMIG  	Paracetamol + Acetylsalicylic Acid + Caffeine
	suppository	Poro  125mg 	Paracetamol
	bottle 	Poro  250mg/5ml, 60ml Child Suspn	Paracetamol
	strip	Rapidus   50mg 	Diclofenac Potassium
	strip	Regunac  50mg 	Diclofenac
	strip	Relaxo   Tab	Diclofenac
	tube	Relaxo  Eye Drop	Diclofenac
	tube	Relaxo  Gel 	Diclofenac
	suppository	Rothacin  100mg of  Supp	Indomethacin
	tube	Rubigel   30gm Gel	Diclofenac Diethylammonium
	tube	Tabiflex-cool   1%, 50gm Gel	Diclofenac Diethylamine
	ampoule	Tabiflex   75mg/3ml IM/IV Inj	Diclofenac Sodium
	ampoule	Tolax  100mg/2ml inj of 10 Amp	Tramadol
	effervescent	Tramadol-Denk 50mg of 10 Eff 	Tramadol
	strip	Trap   	Tramadol + Paracetamol
	sachet	Vigafen  80mg  Sachet	Ketoprofen
	strip	Voldic K   50mg 	Diclofenac Potassium
	tube	Voltaren  1%, 50gm Gel	Diclofenac
	suppository	Voren Suppository 100mg	Diclofenac
Respiratory & Allergy	bottle 	A-ferin Plus Paediatric Syrup 100ml	Paracetamol + Chlorpheniramine + Phenylephrine
	strip	Airfast  10mg  	Montelukast
	strip	Allerban  10mg  	Loratadine
	strip	Alrinast  5mg	Desloratadine
	bottle 	Asist  100ml Ped. Syrup	Acetylcysteine
	puff	Azmasol   Inhaler 100Mcg	Salbutamol Sulphate
	bottle 	Bertantin Cough Syrup	Diphenhydramine + Ammonium Chloride
